movie_id,title,original_language,release_date,runtime,budget,revenue,popularity,vote_count,vote_average,collection,oscar_nominations
278,The Shawshank Redemption,en,23/09/1994,142,25000000.00,28341469.00,51.6,8358,8.5,,7
238,The Godfather,en,14/03/1972,175,6000000.00,245066411.00,41.1,6024,8.5,The Godfather Collection,0
372058,Your Name.,ja,26/08/2016,106,370000000.00,405340703.00,34.5,1030,8.5,,0
680,Pulp Fiction,en,10/09/1994,154,8000000.00,213928762.00,141,8670,8.3,,0
155,The Dark Knight,en,16/07/2008,152,185000000.00,1004558444.00,123.2,12269,8.3,The Dark Knight Collection,0
244786,Whiplash,en,10/10/2014,105,3300000.00,13092000.00,64.3,4376,8.3,,0
550,Fight Club,en,15/10/1999,139,63000000.00,100853753.00,63.9,9678,8.3,,1
424,Schindler's List,en,29/11/1993,195,22000000.00,321365567.00,41.7,4436,8.3,,0
129,Spirited Away,ja,20/07/2001,125,15000000.00,274925095.00,41,3968,8.3,,0
637,Life Is Beautiful,it,20/12/1997,116,20000000.00,229400000.00,39.4,3643,8.3,,0
539,Psycho,en,16/06/1960,109,806948.00,32000000.00,36.8,2405,8.3,Psycho Collection,4
240,The Godfather: Part II,en,20/12/1974,200,13000000.00,47542841.00,36.6,3418,8.3,The Godfather Collection,0
510,One Flew Over the Cuckoo's Nest,en,18/11/1975,133,3000000.00,108981275.00,35.5,3001,8.3,,0
311,Once Upon a Time in America,en,16/02/1984,229,30000000.00,5476126.00,32.2,1104,8.3,,0
13,Forrest Gump,en,06/07/1994,142,55000000.00,677945399.00,48.3,8147,8.2,,0
40096,A Dog's Will,pt,10/09/2000,104,,,24,120,8.2,,0
101,Leon: The Professional,fr,14/09/1994,110,16000000.00,45284974.00,20.5,4293,8.2,,0
497,The Green Mile,en,10/12/1999,189,60000000.00,284600000.00,20,4166,8.2,,4
1891,The Empire Strikes Back,en,17/05/1980,124,18000000.00,538400000.00,19.5,5998,8.2,Star Wars Collection,0
73,American History X,en,30/10/1998,119,20000000.00,23875127.00,18.2,3120,8.2,,1
567,Rear Window,en,01/08/1954,112,1000000.00,36764313.00,17.9,1531,8.2,,
128,Princess Mononoke,ja,12/07/1997,134,26500000.00,159375308.00,17.2,2041,8.2,,0
389,12 Angry Men,en,25/03/1957,96,350000.00,1000000.00,16.5,2130,8.2,,
4935,Howl's Moving Castle,ja,19/11/2004,119,24000000.00,234710455.00,16.1,2049,8.2,,1
77338,The Intouchables,fr,02/11/2011,112,13000000.00,426480871.00,16.1,5410,8.2,,0
769,GoodFellas,en,12/09/1990,145,25000000.00,46836394.00,15.4,3211,8.2,,0
346,Seven Samurai,ja,26/04/1954,207,2000000.00,271841.00,15,892,8.2,,
598,City of God,pt,05/02/2002,130,3300000.00,30641770.00,15,1852,8.2,,4
265177,Mommy,en,22/05/2014,138,4900000.00,3494070.00,14.9,734,8.2,,0
11216,Cinema Paradiso,it,17/11/1988,124,5000000.00,13020497.00,14.2,834,8.2,,0
599,Sunset Boulevard,en,10/08/1950,110,1752000.00,5000000.00,11.7,533,8.2,,
901,City Lights,en,30/01/1931,87,1500000.00,19181.00,10.9,444,8.2,,
19542,The Red Shoes,en,20/07/1948,133,,,10.4,124,8.2,,
18148,Tokyo Story,ja,03/11/1953,136,,,10,190,8.2,,
14537,Harakiri,ja,15/09/1962,135,,,9.3,136,8.2,,0
780,The Passion of Joan of Arc,fr,21/04/1928,110,,,8.9,159,8.2,,
12493,High and Low,ja,01/03/1963,142,230000.00,63588.00,8.8,123,8.2,,0
975,Paths of Glory,en,18/09/1957,88,,,8.5,565,8.2,,
12477,Grave of the Fireflies,ja,16/04/1988,89,3700000.00,801143.00,0,974,8.2,,0
11,Star Wars,en,25/05/1977,121,11000000.00,775398007.00,42.1,6778,8.1,Star Wars Collection,0
378064,A Silent Voice,ja,17/09/2016,130,,,34.9,157,8.1,,0
157336,Interstellar,en,05/11/2014,169,165000000.00,675120017.00,32.2,11187,8.1,,0
122,The Lord of the Rings: The Return of the King,en,01/12/2003,201,94000000.00,1118888979.00,29.3,8226,8.1,The Lord of the Rings Collection,0
27205,Inception,en,14/07/2010,148,160000000.00,825532764.00,29.1,14075,8.1,,0
207,Dead Poets Society,en,02/06/1989,129,16400000.00,235860116.00,19.9,2786,8.1,,0
694,The Shining,en,22/05/1980,144,19000000.00,44017374.00,19.6,3890,8.1,,0
807,Se7en,en,22/09/1995,127,33000000.00,327311859.00,18.5,5915,8.1,,1
429,"The Good, the Bad and the Ugly",it,23/12/1966,161,1200000.00,6000000.00,16.8,2371,8.1,The Man With No Name Collection,0
290098,The Handmaiden,ko,01/06/2016,145,8575000.00,1983204.00,16.7,453,8.1,,0
629,The Usual Suspects,en,19/07/1995,106,6000000.00,23341568.00,16.3,3334,8.1,,0
335,Once Upon a Time in the West,it,21/12/1968,175,5000000.00,5321508.00,15.6,1160,8.1,,0
77,Memento,en,11/10/2000,113,9000000.00,39723096.00,15.5,4168,8.1,,2
423,The Pianist,en,24/09/2002,150,35000000.00,120072577.00,14.8,1927,8.1,,0
103,Taxi Driver,en,07/02/1976,114,1300000.00,28262574.00,14.1,2632,8.1,,4
411088,The Invisible Guest,es,15/12/2016,106,,,13.9,395,8.1,,
25237,Come and See,ru,01/07/1985,142,,,12.6,174,8.1,,0
264644,Room,en,16/10/2015,117,6000000.00,35401758.00,12.4,2838,8.1,,0
500,Reservoir Dogs,en,02/09/1992,99,1200000.00,14661007.00,12.2,3821,8.1,,0
284,The Apartment,en,15/06/1960,125,3000000.00,25000000.00,12,498,8.1,,0
37257,Witness for the Prosecution,en,17/12/1957,116,3000000.00,9000000.00,9.7,278,8.1,,
914,The Great Dictator,en,15/10/1940,125,2000000.00,11000000.00,9.2,756,8.1,,
393729,Divines,fr,31/08/2016,105,,,9,161,8.1,,
3082,Modern Times,en,05/02/1936,87,,,8.2,881,8.1,,
3782,Ikiru,ja,09/10/1952,143,,,7.8,208,8.1,,
10376,The Legend of 1900,it,28/10/1998,170,9000000.00,21061339.00,7.7,554,8.1,,0
110416,Song of the Sea,en,06/09/2014,93,5300000.00,4228034.00,7,420,8.1,,1
18438,Castaway on the Moon,ko,14/05/2009,119,,,6.3,130,8.1,,
18491,The End of Evangelion,ja,19/07/1997,87,,,6.2,124,8.1,Evangelion Collection,0
24382,Big Deal on Madonna Street,it,06/06/1958,106,,,6,107,8.1,Totò Collection,
992,"Sherlock, Jr.",en,21/04/1924,49,,,5.9,134,8.1,,
237791,The Way He Looks,pt,28/03/2014,100,,,5.7,262,8.1,,0
14696,Ugetsu,ja,26/03/1953,94,,,5.5,101,8.1,,
274,The Silence of the Lambs,en,01/02/1991,119,19000000.00,272742922.00,4.3,4549,8.1,The Hannibal Lecter Anthology,0
120,The Lord of the Rings: The Fellowship of the Ring,en,18/12/2001,178,93000000.00,871368364.00,32.1,8892,8,The Lord of the Rings Collection,0
205596,The Imitation Game,en,14/11/2014,113,14000000.00,233555708.00,31.6,5895,8,,0
