movie_id,genre
862,Animation
862,Comedy
862,Family
8844,Adventure
8844,Fantasy
8844,Family
11862,Comedy
949,Action
949,Crime
949,Drama
949,Thriller
11860,Comedy
11860,Romance
9091,Action
9091,Adventure
9091,Thriller
710,Adventure
710,Action
710,Thriller
9087,Comedy
9087,Drama
9087,Romance
12110,Comedy
12110,Horror
21032,Family
21032,Animation
21032,Adventure
1408,Action
1408,Adventure
524,Drama
524,Crime
4584,Drama
4584,Romance
5,Crime
5,Comedy
9273,Crime
9273,Comedy
9273,Adventure
11517,Action
11517,Comedy
11517,Crime
8012,Comedy
8012,Thriller
8012,Crime
1710,Drama
1710,Thriller
9691,Action
9691,Adventure
9691,Crime
9691,Thriller
12665,Drama
12665,Fantasy
12665,Science Fiction
12665,Thriller
451,Drama
451,Romance
902,Fantasy
902,Science Fiction
902,Adventure
9909,Drama
9909,Crime
63,Science Fiction
63,Thriller
63,Mystery
9598,Fantasy
9598,Drama
9598,Comedy
9598,Family
687,Drama
33689,Comedy
33689,Family
33689,Romance
9603,Comedy
9603,Drama
9603,Romance
9312,Action
9312,Fantasy
577,Fantasy
577,Drama
577,Comedy
577,Thriller
807,Crime
807,Mystery
807,Thriller
10530,Adventure
10530,Animation
10530,Drama
10530,Family
629,Drama
629,Crime
629,Thriller
11448,Comedy
11448,Romance
11010,Comedy
11010,Drama
11010,Romance
11359,Adventure
11359,Family
11359,Fantasy
2054,Music
2054,Drama
2054,Family
10607,Comedy
9536,Comedy
10634,Comedy
755,Horror
755,Action
755,Thriller
755,Crime
9102,Horror
9102,Science Fiction
13997,Comedy
2086,Crime
2086,Drama
2086,Thriller
12158,Comedy
12158,Horror
12158,Romance
9283,Comedy
9283,Drama
9283,Romance
9208,Action
9208,Adventure
9208,Drama
9208,Thriller
406,Drama
13685,Comedy
13685,Crime
13685,Drama
9614,Comedy
688,Drama
688,Romance
197,Action
197,Drama
197,History
197,War
103,Crime
103,Drama
33542,Crime
33542,Action
33542,Comedy
33542,Thriller
11066,Comedy
11066,Romance
11104,Drama
11104,Comedy
11104,Romance
27793,Fantasy
9101,Comedy
11000,Comedy
9737,Action
9737,Comedy
9737,Crime
9737,Thriller
10474,Drama
10474,Crime
568,Drama
11780,Adventure
414,Action
414,Crime
414,Fantasy
649,Drama
649,Romance
8839,Fantasy
8839,Comedy
8839,Family
10329,Action
10329,Adventure
10329,Drama
10329,Mystery
10329,Science Fiction
10329,Thriller
8963,Action
8963,Thriller
8963,Drama
8068,Thriller
8068,Action
8068,Crime
1572,Action
1572,Thriller
6520,Action
6520,Adventure
6520,Drama
6520,Romance
9073,Adventure
10428,Action
10428,Crime
10428,Thriller
10428,Drama
9886,Adventure
9886,Action
9886,Drama
9886,Science Fiction
9886,Thriller
9482,Science Fiction
9344,Drama
9344,Crime
2293,Romance
2293,Comedy
9070,Action
9070,Adventure
9070,Science Fiction
9070,Family
9070,Fantasy
1642,Crime
1642,Drama
1642,Mystery
1642,Thriller
1642,Action
11472,Comedy
11980,Fantasy
11980,Horror
11980,Thriller
10533,Drama
10533,History
10533,Romance
10802,Drama
10149,Comedy
10149,Drama
9348,Science Fiction
9348,Horror
9348,Action
281,Crime
281,Drama
281,Science Fiction
281,Thriller
5967,Drama
5967,Romance
36834,Drama
36834,Romance
9090,Comedy
3512,Action
3512,Thriller
9560,Drama
9560,Romance
9804,Adventure
9804,Action
76,Drama
76,Romance
11017,Comedy
2292,Comedy
1909,Romance
1909,Drama
1909,Comedy
8984,Drama
8984,Thriller
8984,Crime
8984,Mystery
8984,Romance
11929,Crime
11929,Drama
11929,Mystery
8467,Comedy
522,Comedy
522,Drama
522,History
397,Comedy
397,Romance
15789,Romance
15789,Animation
15789,Family
15789,Comedy
15789,Adventure
1024,Drama
1024,Fantasy
11777,Comedy
11777,Drama
11777,Romance
628,Horror
628,Romance
6280,Comedy
6280,Family
6280,Romance
9061,Action
9061,Drama
9061,Mystery
9061,Thriller
11,Adventure
11,Action
11,Science Fiction
9587,Drama
9587,Romance
19101,Drama
19101,Family
19101,Fantasy
4476,Adventure
4476,Drama
4476,Romance
4476,War
11008,Adventure
11008,Comedy
11008,Family
3036,Drama
3036,Horror
3036,Science Fiction
3036,Romance
10510,Fantasy
10510,Drama
10510,Family
8438,Crime
8438,Drama
1945,Drama
1945,Thriller
241,Crime
241,Thriller
241,Drama
527,Drama
6950,Action
6950,Drama
6950,Science Fiction
6950,Thriller
101,Thriller
101,Crime
101,Drama
680,Thriller
680,Crime
11450,History
11450,Drama
12106,Action
12106,Western
110,Drama
110,Mystery
110,Romance
108,Drama
108,Music
108,Mystery
109,Comedy
109,Drama
109,Mystery
22586,Animation
2636,Action
2636,Thriller
2164,Action
2164,Adventure
2164,Science Fiction
11395,Fantasy
11395,Drama
11395,Comedy
11395,Family
278,Drama
278,Crime
9905,Crime
9905,Thriller
20306,Crime
20306,Comedy
9067,Action
9067,Comedy
9067,Fantasy
9067,Science Fiction
193,Science Fiction
193,Action
193,Adventure
193,Thriller
12122,Thriller
12122,Horror
12122,Science Fiction
11381,Comedy
1587,Romance
1587,Drama
9271,Action
9271,Crime
9271,Science Fiction
9271,Thriller
2064,Comedy
2064,Drama
2064,Romance
236,Drama
236,Comedy
236,Romance
3049,Comedy
3049,Mystery
2759,Drama
2759,Comedy
10497,Thriller
10497,Drama
10497,Romance
11382,Action
11382,Comedy
11382,Thriller
9331,Action
9331,Drama
9331,Thriller
10731,Drama
10731,Thriller
10731,Crime
10731,Mystery
9495,Fantasy
9495,Action
9495,Thriller
888,Fantasy
888,Comedy
888,Family
13,Comedy
13,Drama
13,Romance
712,Comedy
712,Drama
712,Romance
10660,Comedy
10660,Drama
10660,Romance
10714,Adventure
10714,Drama
10714,Family
8587,Family
8587,Animation
8587,Drama
11596,Horror
11596,Thriller
11596,Mystery
11596,Fantasy
854,Romance
854,Comedy
854,Crime
854,Fantasy
9359,Action
9359,Adventure
9359,Comedy
9359,Drama
9359,Western
36593,Comedy
36593,Crime
2788,Drama
11011,Comedy
11011,Family
8987,Action
8987,Adventure
8987,Crime
8987,Thriller
1637,Action
1637,Adventure
1637,Crime
8831,Thriller
8831,Science Fiction
8831,Action
8831,Crime
36955,Action
36955,Thriller
10395,Fantasy
12160,Drama
12160,Action
12160,Western
11667,Action
11667,Adventure
11667,Thriller
8011,Action
8011,Fantasy
8011,Science Fiction
2654,Horror
2654,Mystery
2654,Thriller
2758,Comedy
2758,Family
2758,Fantasy
10436,Drama
10436,Romance
13595,Comedy
13595,Crime
13595,Music
306,Action
306,Comedy
306,Crime
178,Drama
178,Action
178,Thriller
4722,Horror
4722,Science Fiction
4722,Thriller
1607,Drama
1607,Crime
6075,Action
6075,Crime
6075,Drama
6075,Thriller
11310,Action
11310,Comedy
11310,Drama
11310,Western
9350,Action
9350,Adventure
9350,Thriller
9612,Comedy
9612,Science Fiction
9612,Family
2124,Drama
2124,Mystery
2124,Romance
2124,Thriller
11566,Comedy
9571,Comedy
9571,Drama
9739,Crime
9739,Action
9739,Science Fiction
37233,Drama
37233,Mystery
37233,Thriller
