movie_id,keywords
862,jealousy
862,toy
862,boy
862,friendship
862,friends
862,rivalry
862,boy next door
862,new toy
862,toy comes to life
8844,board game
8844,disappearance
8844,based on children's book
8844,new home
8844,recluse
8844,giant insect
11862,baby
11862,midlife crisis
11862,confidence
11862,aging
11862,daughter
11862,mother daughter relationship
11862,pregnancy
11862,contraception
11862,gynecologist
949,robbery
949,detective
949,bank
949,obsession
949,chase
949,shooting
949,thief
949,honor
949,murder
949,suspense
949,heist
949,betrayal
949,money
949,gang
949,cat and mouse
949,criminal mastermind
949,cult film
949,ex-con
949,heist movie
949,one last job
949,loner
949,bank job
949,neo-noir
949,gun fight
949,crime epic
11860,paris
11860,brother brother relationship
11860,chauffeur
11860,long island
11860,fusion
11860,millionaire
9091,terrorist
9091,hostage
9091,explosive
9091,vice president
710,cuba
710,falsely accused
710,secret identity
710,computer virus
710,secret base
710,secret intelligence service
710,kgb
710,satellite
710,special car
710,cossack
710,electromagnetic pulse
710,time bomb
710,st. petersburg russia
710,ejection seat
710,red army
9087,white house
9087,usa president
9087,new love
9087,widower
9087,wildlife conservation
12110,dracula
12110,spoof
21032,wolf
21032,dog-sledding race
21032,alaska
21032,dog
21032,goose
21032,bear attack
21032,dog sled
21032,frozen lake
1408,exotic island
1408,treasure
1408,map
1408,ship
1408,scalp
1408,pirate
524,poker
524,drug abuse
524,1970s
524,overdose
524,illegal prostitution
4584,bowling
4584,based on novel
4584,servant
4584,country life
4584,jane austen
4584,inheritance
4584,military officer
4584,period drama
4584,rainstorm
4584,horse and carriage
4584,decorum
5,hotel
5,new year's eve
5,witch
5,bet
5,hotel room
5,sperm
5,los angeles
5,hoodlum
5,woman director
5,episode film
9273,africa
9273,indigenous
9273,human animal relationship
9273,bat
11517,brother brother relationship
11517,subway
11517,new york city
11517,new york subway
11517,train robbery
8012,gambling
8012,miami
8012,based on novel
8012,job
8012,murder
8012,travel
8012,mafia
8012,money
8012,debt
8012,mobster
8012,business
