movie_id,production_companies
862,Pixar Animation Studios
8844,TriStar Pictures
8844,Teitler Film
8844,Interscope Communications
11862,Sandollar Productions
11862,Touchstone Pictures
949,Regency Enterprises
949,Forward Pass
949,Warner Bros.
11860,Paramount Pictures
11860,Scott Rudin Productions
11860,Mirage Enterprises
11860,Sandollar Productions
11860,Constellation Entertainment
11860,Worldwide
11860,Mont Blanc Entertainment GmbH
9091,Universal Pictures
9091,Imperial Entertainment
9091,Signature Entertainment
710,United Artists
710,Eon Productions
9087,Columbia Pictures
9087,Castle Rock Entertainment
12110,Columbia Pictures
12110,Castle Rock Entertainment
12110,Enigma Pictures
21032,Universal Pictures
21032,Amblin Entertainment
21032,Amblimation
1408,Le Studio Canal+
1408,Laurence Mark Productions
1408,Metro-Goldwyn-Mayer (MGM)
1408,Carolco Pictures
524,Universal Pictures
524,Légende Entreprises
524,Syalis DA
524,De Fina-Cappa
4584,Columbia Pictures Corporation
4584,Mirage Enterprises
5,Miramax Films
5,A Band Apart
9273,O Entertainment
9273,Warner Bros.
9273,Morgan Creek Productions
11517,Columbia Pictures
8012,Jersey Films
8012,Metro-Goldwyn-Mayer (MGM)
1710,Regency Enterprises
1710,New Regency Pictures
9691,Silver Pictures
9691,Canal+
9691,Warner Bros.
9691,Dino De Laurentiis Company
9691,Donner/Shuler-Donner Productions
9691,Evansgideon/Lazar
12665,Caravan Pictures
12665,Hollywood Pictures
451,United Artists
451,Intial Productions
902,Procirep
902,Constellation Productions
902,France 3 Cinéma
902,Claudie Ossard Productions
902,Eurimages
902,MEDIA Programme of the European Union
902,Cofimage 5
902,Televisión Española (TVE)
902,Tele München Fernseh Produktionsgesellschaft (TMG)
902,Club d'Investissement Média
902,Canal+ España
902,Elías Querejeta Producciones Cinematográficas S.L.
902,Centre National de la Cinématographie (CNC)
902,Victoires Productions
902,Constellation
902,Lumière Pictures
902,Canal+
902,Studio Image
902,Cofimage 4
902,Ossane
902,Phoenix Images
9909,Hollywood Pictures
9909,Via Rosa Productions
9909,Don Simpson/Jerry Bruckheimer Films
63,Universal Pictures
63,Atlas Entertainment
63,Classico
9598,Universal Pictures
9598,Kennedy Miller Productions
687,Havoc
687,PolyGram Filmed Entertainment
687,Working Title Films
33689,Dualstar Productions
33689,Warner Bros.
33689,Rysher Entertainment
33689,Orr & Cruickshank
9603,Paramount Pictures
9312,New Line Cinema
9312,Threshold Entertainment
577,The Rank Organisation
577,Columbia Pictures Corporation
807,New Line Cinema
807,Juno Pix
807,Cecchi Gori Pictures
10530,Walt Disney Pictures
10530,Walt Disney Feature Animation
629,Blue Parrot Productions
629,Bad Hat Harry Productions
11448,Miramax Films
11448,Magnolia Pictures
11359,Paramount Pictures
11359,Columbia Pictures Corporation
11359,The Kennedy/Marshall Company
2054,Hollywood Pictures
2054,The Charlie Mopic Company
2054,PolyGram Filmed Entertainment
2054,Interscope Communications
10607,Miramax Films
10607,Island Pictures
10607,Ivory Way Productions
9536,Metro-Goldwyn-Mayer (MGM)
9536,Motion Picture Corporation of America (MPCA)
9536,3 Arts Entertainment
9536,Weasel Productions
10634,New Line Cinema
755,A Band Apart
755,Dimension Films
755,Los Hooligans Productions
755,Miramax
9102,The Movie Network (TMN)
9102,Allegro Films
9102,Fuji Eight Company Ltd.
9102,Fries Film Group
9102,Super Ecran
9102,Triumph Films
13997,Paramount Pictures
2086,Paramount Pictures
12158,Paramount Pictures
9283,Miramax Films
9283,Woods Entertainment
9208,Twentieth Century Fox Film Corporation
9208,WCG Entertainment Productions
9208,Mark Gordon Productions
406,Egg Pictures
406,PolyGram Filmed Entertainment
406,Canal+
406,Les Productions Lazennec
406,La Sept Cinéma
406,Kasso Inc. Productions
406,Studio Image
406,Cofinergie 6
13685,Gracie Films
13685,Columbia Pictures Corporation
9614,Universal Pictures
9614,Brillstein-Grey Entertainment
9614,Robert Simonds Productions
688,Amblin Entertainment
688,Malpaso Productions
688,Warner Bros.
197,Icon Entertainment International
197,The Ladd Company
197,B.H. Finance C.V.
103,Columbia Pictures Corporation
103,Italo/Judeo Productions
103,Bill/Phillips
33542,New Line Cinema
33542,Golden Harvest Company
11066,Paramount Pictures
11104,Jet Tone Production
11104,The Criterion Collection
27793,Studio Babelsberg
27793,Dieter Geissler Filmproduktion
27793,Cinevox Filmproduktion GmbH
27793,Warner Bros.
27793,Miramax
9101,Twentieth Century Fox Film Corporation
11000,United Artists
9737,Columbia Pictures
9737,Don Simpson/Jerry Bruckheimer Films
10474,New Line Cinema
10474,Island Pictures
568,Imagine Entertainment
568,Universal Pictures
11780,United Artists
11780,Talisman Productions
414,Warner Bros.
414,Polygram Filmed Entertainment
649,Paris Films Productions
649,Five Films
649,Robert et Raymond Hakim
8839,Universal Pictures
8839,Amblin Entertainment
8839,The Harvey Entertainment Company
10329,Paramount Pictures
10329,"Kennedy/Marshall Company, The"
8963,Hollywood Pictures
8963,Don Simpson/Jerry Bruckheimer Films
8068,Columbia Pictures
8068,Los Hooligans Productions
1572,Twentieth Century Fox Film Corporation
1572,Cinergi Pictures Entertainment
6520,Columbia Pictures Corporation
6520,First Knight Productions
9073,Regency Enterprises
9073,Alcor Films
9073,Canal+
9073,Donner/Shuler-Donner Productions
9073,Warner Bros.
10428,United Artists
10428,Suftley
9886,TriStar Pictures
9886,Alliance Communications Corporation
9482,Hollywood Pictures
9482,Cinergi Pictures Entertainment
9344,Miramax Films
2293,Universal Pictures
2293,Gramercy Pictures
2293,Alphaville Films
2293,View Askew Productions
9070,Twentieth Century Fox Film Corporation
9070,Saban Entertainment
9070,Toei Company
1642,Columbia Pictures
11472,Twentieth Century Fox Film Corporation
11472,1492 Pictures
11980,Dimension Films
10533,Hollywood Pictures
10533,Cinergi Pictures Entertainment
10802,United Artists
10802,Le Studio Canal+
10802,Carolco Pictures
10149,Miramax Films
9348,Metro-Goldwyn-Mayer (MGM)
281,Lightstorm Entertainment
5967,Beta Film
5967,Madeleine Films
5967,Parc Film
36834,Société Française de Production (SFP)
36834,FIT Productions
36834,Portman Productions
9090,Universal Pictures
9090,Amblin Entertainment
3512,Regency Enterprises
3512,Warner Bros.
3512,Seagal/Nasso Productions
3512,Victor Company of Japan (JVC)
3512,Cutting Edge Films
9560,Twentieth Century Fox Film Corporation
9560,Zucker Brothers Productions
9804,Universal Pictures
9804,Gordon Company
9804,Davis Entertainment
9804,Licht/Mueller Film Corporation
76,Detour Film Production
76,Warner Bros.
11017,Jack Giarraputo Productions
2292,Miramax Films
2292,View Askew Productions
1909,New Line Cinema
1909,American Zoetrope
8984,Warner Bros.
8984,Baltimore Pictures
11929,Castle Rock Entertainment
11929,Columbia Pictures Corporation
8467,New Line Cinema
8467,Motion Picture Corporation of America (MPCA)
522,Touchstone Pictures
397,Twentieth Century Fox Film Corporation
397,PolyGram Filmed Entertainment
397,Working Title Films
397,Prufrock Pictures
15789,Walt Disney Pictures
1024,WingNut Films
1024,Miramax Films
1024,New Zealand Film Commission
1024,Fontana Productions
11777,Paramount Pictures
628,Geffen Pictures
6280,Universal Pictures
6280,Northern Lights Entertainment
9061,Fountainbridge Films
9061,Warner Bros.
9061,Lee Rich Productions
11,Lucasfilm
11,Twentieth Century Fox Film Corporation
9587,Columbia Pictures
19101,Warner Bros.
4476,Bedford Falls Productions
4476,TriStar Pictures
4476,Pangaea
11008,Universal Pictures
3036,American Zoetrope
3036,TriStar Pictures
10510,Twentieth Century Fox Film Corporation
8438,Wolper Organization
8438,Warner Bros.
1945,Twentieth Century Fox Film Corporation
1945,Egg Pictures
1945,PolyGram Filmed Entertainment
241,Regency Enterprises
241,Alcor Films
241,Ixtlan
241,Warner Bros.
241,New Regency Pictures
241,J D Productions
527,Avalon Studios
527,New Zealand Film Commission
527,New Zealand On Air
6950,Kopelson Entertainment
6950,Punch Productions
6950,Warner Bros.
6950,Arnold Kopelson Productions
101,Columbia Pictures
101,Gaumont
680,Miramax Films
680,A Band Apart
680,Jersey Films
11450,Wildwood Enterprises
11450,Hollywood Pictures
11450,Baltimore Pictures
12106,TriStar Pictures
110,Zespół Filmowy TOR
110,Le Studio Canal+
110,France 3 Cinéma
110,Télévision Suisse-Romande
108,France 3 Cinéma
108,CED Productions
109,Le Studio Canal+
109,France 3 Cinéma
109,Eurimages
22586,Rich Animation Studios
2636,Jerry Weintraub Productions
2636,Warner Bros.
2636,Iguana Producciones
2164,Centropolis Entertainment
2164,StudioCanal
2164,Carolco Entertainment
11395,Walt Disney Pictures
11395,Hollywood Pictures
278,Castle Rock Entertainment
278,Warner Bros.
9905,Channel Four Films
9905,Figment Films
9905,The Glasgow Film Fund
9905,PolyGram Filmed Entertainment
20306,Cineville
20306,Trimark Pictures
9067,Trilogy Entertainment Group
193,Paramount Pictures
12122,Universal Pictures
11381,Paramount Pictures
1587,Paramount Pictures
9271,Paramount Pictures
2064,Caravan Pictures
2064,Hollywood Pictures
236,Ciby 2000
236,Film Victoria
236,House & Moorhouse Films
3049,Warner Bros.
3049,Morgan Creek Productions
2759,PolyGram Filmed Entertainment
10497,Fine Line Features
10497,R.P. Productions
10497,Columbia Pictures Corporation
10497,Les Films Alain Sarde
10497,Canal+
10497,Timothy Burrill Productions
11382,Miramax Films
9331,Paramount Pictures
9331,Mace Neufeld Productions
10731,Regency Enterprises
10731,Alcor Films
10731,Warner Bros.
9495,Miramax Films
9495,Crowvision Inc.
9495,Entertainment Media Investment Corporation
9495,Jeff Most Productions
9495,Edward R. Pressman Film
888,Universal Pictures
888,Amblin Entertainment
888,Hanna-Barbera Productions
13,Paramount Pictures
712,Channel Four Films
712,PolyGram Filmed Entertainment
712,Working Title Films
10660,TriStar Pictures
8587,Walt Disney Pictures
8587,Walt Disney Feature Animation
11596,New Line Cinema
854,New Line Cinema
854,Dark Horse Entertainment
